Velocidad [RPM];Aceleracion [V_Acc]; Voltaje[V];Corriente[A];Temperatura[°C];Latitud;Longitud;Velocidad[GPS: km/h];Satelites; Altitud; Hora; Minutos; Year
0;0.28;43.83722427;0.87750844;94.82356587;0;0;0;0;0;0;0;0
0;0.28;43.87248814;0.87340465;94.30731329;0;0;0;0;0;0;0;0
0;0.28;43.84610708;0.86907753;95.73102079;0;0;0;0;0;0;0;0
0;0.28;43.86523929;0.85989287;95.38450956;0;0;0;0;0;0;0;0
0;0.28;43.84037336;0.86349415;96.67043808;0;0;0;0;0;0;0;0
0;0.28;43.88885747;0.86253102;96.50160996;0;0;0;0;0;0;0;0
0;0.28;43.90723211;0.8635779;96.5160784;0;0;0;0;0;0;0;0
0;0.28;43.85760423;0.85710118;97.4972117;0;0;0;0;0;0;0;0
0;0.28;43.88896145;0.8534999;97.73577789;0;0;0;0;0;0;0;0
0;0.28;43.93306357;0.86179122;98.22383299;0;0;0;0;0;0;0;0
0;0.28;43.91822422;0.85760368;98.69386472;0;0;0;0;0;0;0;0
0;0.28;43.95328013;0.86964983;100.2311926;0;0;0;0;0;0;0;0
0;0.28;43.91887781;0.86110726;99.61189773;0;0;0;0;0;0;0;0
0;0.28;43.97664579;0.85679409;101.222825;0;0;0;0;0;0;0;0
0;0.28;43.9674956;0.87086421;102.5544671;0;0;0;0;0;0;0;0
0;0.28;43.96742133;0.86174934;101.9831109;0;0;0;0;0;0;0;0
0;0.28;43.95960802;0.84871215;98.2881851;0;0;0;0;0;0;0;0
0;0.28;43.96641125;0.86565771;92.22085736;0;0;0;0;0;0;0;0
0;0.28;43.98713286;0.87928116;93.0378918;0;0;0;0;0;0;0;0
0;0.28;44.01483594;0.87196693;93.69540548;0;0;0;0;0;0;0;0
0;0.28;44.0247734;0.8657275;93.1173526;0;0;0;0;0;0;0;0
0;0.28;44.00666613;0.88187743;94.3657032;0;0;0;0;0;0;0;0
0;0.28;43.9848156;0.86469458;94.14109414;0;0;0;0;0;0;0;0
0;0.28;44.00785447;0.85805035;95.2374112;0;0;0;0;0;0;0;0
0;0.28;44.04984729;0.86010225;95.67031043;0;0;0;0;0;0;0;0
0;0.28;44.08214032;0.8562218;95.5214319;0;0;0;0;0;0;0;0
0;0.28;44.03331456;0.87541467;96.17077099;0;0;0;0;0;0;0;0
0;0.28;44.06531051;0.86371749;96.5672146;0;0;0;0;0;0;0;0
0;0.28;44.0827642;0.88235202;96.15209601;0;0;0;0;0;0;0;0
0;0.28;44.11783496;0.86776544;96.41262545;0;0;0;0;0;0;0;0
0;0.28;44.13163451;0.86174934;98.21869123;0;0;0;0;0;0;0;0
0;0.28;44.13675921;0.8533324;99.81585802;0;0;0;0;0;0;0;0
0;0.29;44.09831654;0.86237747;102.9530669;0;0;0;0;0;0;0;0
0;0.28;44.15985749;0.87071067;107.9505608;0;0;0;0;0;0;0;0
0;0.28;44.11608217;0.87411653;108.1522956;0;0;0;0;0;0;0;0
0;0.28;44.15718374;0.85511908;109.2413767;0;0;0;0;0;0;0;0
0;0.28;44.15789674;0.86842148;109.4696075;0;0;0;0;0;0;0;0
0;0.28;44.15284631;0.85909724;110.0542382;0;0;0;0;0;0;0;0
0;0.28;44.1593376;0.85860869;109.0410761;0;0;0;0;0;0;0;0
0;0.28;44.20718297;0.87290215;109.4684819;0;0;0;0;0;0;0;0
0;0.28;44.19933996;0.85856682;109.5544225;0;0;0;0;0;0;0;0
0;0.28;44.22332949;0.86276831;110.0458797;0;0;0;0;0;0;0;0
0;0.28;44.21532308;0.85137821;109.59405;0;0;0;0;0;0;0;0
0;0.28;44.17997008;0.85451887;110.2236036;0;0;0;0;0;0;0;0
0;0.28;44.22257193;0.85344406;108.7877527;0;0;0;0;0;0;0;0
0;0.28;44.26377748;0.8771176;109.265007;0;0;0;0;0;0;0;0
0;0.28;44.25915782;0.86765377;109.3538545;0;0;0;0;0;0;0;0
0;0.28;44.24942832;0.86377332;109.2965092;0;0;0;0;0;0;0;0
0;0.28;44.2399959;0.85867848;109.1845242;0;0;0;0;0;0;0;0
0;0.28;44.22110136;0.85915307;109.8395989;0;0;0;0;0;0;0;0
0;0.28;44.25415196;0.86535062;109.6823576;0;0;0;0;0;0;0;0
0;0.28;44.32187225;0.8521878;109.4826429;0;0;0;0;0;0;0;0
0;0.28;44.3204611;0.87071067;106.0916305;0;0;0;0;0;0;0;0
0;0.28;44.30118035;0.86469458;117.2212693;0;0;0;0;0;0;0;0
0;0.28;44.32675928;0.87248339;121.9618323;0;0;0;0;0;0;0;0
0;0.28;44.30880056;0.85238322;121.1493949;0;0;0;0;0;0;0;0
0;0.28;44.29812039;0.8562218;122.0263503;0;0;0;0;0;0;0;0
0;0.28;44.3301609;0.85894369;119.6285153;0;0;0;0;0;0;0;0
0;0.28;44.33874662;0.86638355;122.0538301;0;0;0;0;0;0;0;0
0;0.28;44.33745431;0.86395478;121.8957673;0;0;0;0;0;0;0;0
0;0.28;44.37155955;0.85703139;119.8546364;0;0;0;0;0;0;0;0
0;0.28;44.32120381;0.86645334;120.0002927;0;0;0;0;0;0;0;0
0;0.28;44.377932;0.86899378;121.8413693;0;0;0;0;0;0;0;0
0;0.28;44.35444751;0.85643117;122.5508849;0;0;0;0;0;0;0;0
0;0.28;44.35841359;0.85934849;122.7567939;0;0;0;0;0;0;0;0
0;0.28;44.39348435;0.85147592;123.0974937;0;0;0;0;0;0;0;0
0;0.28;44.37677338;0.8673746;122.9111761;0;0;0;0;0;0;0;0
0;0.29;44.41029931;0.86336852;123.0414523;0;0;0;0;0;0;0;0
0;0.28;44.44966294;0.86026975;122.7916406;0;0;0;0;0;0;0;0
0;0.28;44.39727217;0.84633921;123.2298105;0;0;0;0;0;0;0;0
0;0.28;44.46728002;0.85352782;122.4619181;0;0;0;0;0;0;0;0
0;0.28;44.43122887;0.85489574;122.7129661;0;0;0;0;0;0;0;0
0;0.28;44.39492521;0.85169926;123.1549997;0;0;0;0;0;0;0;0
0;0.28;44.4776631;0.87147838;123.1022261;0;0;0;0;0;0;0;0
0;0.28;44.41138366;0.85157363;122.1877521;0;0;0;0;0;0;0;0
0;0.28;44.44021566;0.86338248;119.4104249;0;0;0;0;0;0;0;0
0;0.28;44.4564216;0.86033954;107.7871818;0;0;0;0;0;0;0;0
0;0.28;44.49331943;0.84880986;113.7977498;0;0;0;0;0;0;0;0
0;0.28;44.48351566;0.86264268;121.6138731;0;0;0;0;0;0;0;0
0;0.28;44.45031652;0.85954391;122.3187194;0;0;0;0;0;0;0;0
0;0.28;44.46249696;0.85308115;116.7959614;0;0;0;0;0;0;0;0
0;0.27;44.48797192;0.84532025;117.216585;0;0;0;0;0;0;0;0
0;0.28;44.51150097;0.87082234;119.2700279;0;0;0;0;0;0;0;0
0;0.28;44.5239785;0.85160155;117.0504108;0;0;0;0;0;0;0;0
0;0.28;44.48829871;0.85894369;119.7501487;0;0;0;0;0;0;0;0
0;0.25;44.53066289;0.85989287;114.5820121;0;0;0;0;0;0;0;0
0;0.26;44.53797115;0.85912515;116.0978259;0;0;0;0;0;0;0;0
0;0.27;44.52267133;0.84371502;110.310021;0;0;0;0;0;0;0;0
0;0.27;44.52013126;0.87396299;53.48587074;0;0;0;0;0;0;0;0
0;0.28;44.57494326;0.88053742;102.9332193;0;0;0;0;0;0;0;0
0;0.28;44.61467824;0.85992079;113.9488801;0;0;0;0;0;0;0;0
0;0.25;44.58972319;0.86382915;112.994334;0;0;0;0;0;0;0;0
0;0.25;44.54349692;0.85810619;118.3995296;0;0;0;0;0;0;0;0
0;0.25;44.58777729;0.85992079;113.0206778;0;0;0;0;0;0;0;0
0;0.25;44.57218038;0.85411407;110.3867414;0;0;0;0;0;0;0;0
0;0.26;44.57222494;0.85521679;116.3240285;0;0;0;0;0;0;0;0
0;0.27;44.61340078;0.85613805;110.9351447;0;0;0;0;0;0;0;0
0;0.27;44.57507695;0.8626706;112.6022421;0;0;0;0;0;0;0;0
0;0.27;44.63700411;0.86045121;107.1243304;0;0;0;0;0;0;0;0
